EXP:6100
('i', 0.699302, 1652036381476031097)
('g', 2.438202, 1652036381478472656)
('d', 1.180899, 1652036381479657429)
('i', 1.250229, 1652036381480909830)
('d', 4.07639, 1652036381484989422)
('i', 0.39834, 1652036381485392864)
('g', 1.282348, 1652036381486677687)
('r', 0.705808, 1652036381487385542)
('d', 0.274881, 1652036381487661901)
('g', 7.556149, 1652036381495220405)
('i', 0.45704, 1652036381495681030)
('d', 0.287108, 1652036381495970110)
('g', 0.253821, 1652036381496225901)
('g', 0.227152, 1652036381496454382)
('g', 0.275861, 1652036381496731685)
('r', 0.297719, 1652036381497030506)
('d', 0.357898, 1652036381497389881)
('g', 0.368947, 1652036381497761368)
('g', 0.243629, 1652036381498006369)
('d', 0.292927, 1652036381498300716)
('i', 0.2583, 1652036381498560411)
('g', 0.283959, 1652036381498845810)
('g', 0.355627, 1652036381499202836)
('r', 0.328746, 1652036381499532969)
('i', 0.406843, 1652036381499941292)
('d', 0.33463, 1652036381500277230)
('d', 0.364625, 1652036381500652750)
('i', 0.296376, 1652036381500950410)
('i', 0.307626, 1652036381501259408)
('g', 0.245638, 1652036381501506303)
('g', 0.291644, 1652036381501799325)
('r', 0.415623, 1652036381502216292)
('i', 0.408101, 1652036381502625904)
('g', 0.303151, 1652036381502930309)
('g', 0.279701, 1652036381503211254)
('g', 0.228758, 1652036381503441295)
('g', 0.395185, 1652036381503846738)
('d', 0.307204, 1652036381504155232)
('g', 0.379048, 1652036381504535598)
('r', 0.405732, 1652036381504942726)
('d', 0.4286, 1652036381505372745)
('i', 0.318985, 1652036381505693053)
('d', 0.435588, 1652036381506129918)
('g', 0.33983, 1652036381506471110)
('g', 0.331908, 1652036381506804438)
('i', 0.355378, 1652036381507161171)
('d', 0.398011, 1652036381507560485)
('r', 0.355852, 1652036381507918268)
('g', 0.346685, 1652036381508266459)
('i', 0.352917, 1652036381508620641)
('g', 0.348192, 1652036381508970151)
('i', 0.322353, 1652036381509293842)
